location_id,location_name,bu_rc_id,bu_rc_name,active,country,zip_code,city,address,latitude,longitude
57,Synthetic Site 057,3007,SI_D_SW,True,AT,15617,Salzburg,Industriestraße 88,47.799333,13.044535
58,Synthetic Site 058,3005,SI_D_MO,True,IT,13725,Turin,187 Business Park Drive,45.073586,7.685674
59,Synthetic Site 059,3002,SI_D_ED,True,HU,48-976,Budapest,Ulica Lipowa 109,47.486349,19.031578
60,Synthetic Site 060,3014,SI_D_SS,True,FI,13764,Tampere,104 Industrial Road,61.494946,23.737081
61,Synthetic Site 061,3007,SI_D_SW,True,CH,3366,Zurich,Schillerstraße 109,47.392315,8.560808
62,Synthetic Site 062,3004,SI_D_HC,False,CH,3322,Bern,Goethestraße 28,46.950702,7.428429
63,Synthetic Site 063,3005,SI_D_MO,True,CH,3380,Bern,Ringstraße 49,46.956612,7.437062
64,Synthetic Site 064,3009,SI_D_EV,True,ES,14036,Seville,132 Enterprise Way,37.40035,-5.970568
65,Synthetic Site 065,3003,SI_D_FS,True,CZ,20-240,Brno,Ulica Przemysłowa 195,49.175387,16.628801
66,Synthetic Site 066,3013,SI_D_RE,True,GB,M2 4FW,Birmingham,46 Industrial Road,52.457871,-1.896257
67,Synthetic Site 067,3012,SI_D_PM,True,HU,29-163,Budapest,Ulica Fabryczna 92,47.491546,19.056489
68,Synthetic Site 068,3011,SI_D_OP,True,BE,04765,Antwerp,161 Boulevard du Marché,51.209857,4.424645
69,Synthetic Site 069,3007,SI_D_SW,True,DE,16874,Cologne,Schillerstraße 181,50.927546,6.960753
70,Synthetic Site 070,3010,SI_D_IN,True,DE,16841,Frankfurt,Goethestraße 51,50.131802,8.66523
71,Synthetic Site 071,3009,SI_D_EV,True,SE,14524,Stockholm,193 Commerce Street,59.310246,18.061755
72,Synthetic Site 072,3010,SI_D_IN,True,NL,2422 NP,Amsterdam,Hoofdstraat 198,52.389584,4.90743
73,Synthetic Site 073,3002,SI_D_ED,True,RO,27-173,Cluj-Napoca,Ulica Dworcowa 24,46.78954,23.608672
74,Synthetic Site 074,3007,SI_D_SW,True,CZ,28-266,Ostrava,Ulica Lipowa 104,49.823796,18.305601
75,Synthetic Site 075,3001,SI_D_DI,True,PL,22-352,Gdansk,Ulica Przemysłowa 177,54.360083,18.640683
76,Synthetic Site 076,3008,SI_D_TI,True,DE,17391,Munich,Mühlenweg 19,48.149339,11.563123
77,Synthetic Site 077,3005,SI_D_MO,True,AT,17476,Vienna,Schillerstraße 7,48.229841,16.360049
78,Synthetic Site 078,3003,SI_D_FS,True,DE,17591,Cologne,Goethestraße 25,50.954556,6.942664
79,Synthetic Site 079,3002,SI_D_ED,True,PL,33-371,Wroclaw,Ulica Lipowa 144,51.090963,17.043969
80,Synthetic Site 080,3009,SI_D_EV,True,FR,05415,Paris,175 Boulevard du Marché,48.841822,2.337516
